sli_no,paid_amt,order_no,price_type_desc,price_type_short_desc,sli_status_desc,perf_dt,order_dt,price_type_category_desc,price_type_category_short_desc,perf_desc,prod_desc,perf_type_desc,season_desc,season_fy,mos_desc,site_code,gl_account_no
305,6,265,Child (5-17),Child 5-17,"Seated, Paid",3/1/2016 15:30,2/29/2016 8:56,Standard,Stand,HIL Daily Admissions,HIL Daily Admissions,Daily Admissions,HIL FY16,2016,HIL,HIL,40-00357-4101-                
306,6,267,Child (5-17),Child 5-17,"Seated, Paid",3/1/2016 15:30,2/29/2016 9:01,Standard,Stand,HIL Daily Admissions,HIL Daily Admissions,Daily Admissions,HIL FY16,2016,HIL,HIL,40-00357-4101-                
574,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
575,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
576,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
577,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
578,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
579,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
580,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
581,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
582,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
583,0,472688,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
593,6,472694,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
612,6,472709,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
613,6,472709,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
614,6,472709,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
